month,listed,sold,revenue,ppsf
2024-01-01,502,375,129933595.25,299.324745245188
2024-02-01,510,364,125371231.82,303.7377382061027
2024-03-01,508,370,127777630.67,302.1666159206151
2024-04-01,518,373,128963891.17,301.41329330767434
2024-05-01,506,374,129481815.56,302.9171171569526
2024-06-01,537,408,143270284.18,302.88385497864
2024-07-01,517,365,123927191.7,303.17056820844414
2024-08-01,480,347,117814464.8,303.3307913849939
2024-09-01,455,340,115529227.25,300.2041929851917
2024-10-01,490,363,123552470.78,302.1624559127974
2024-11-01,494,374,129066036.38,303.98880209584354
2024-12-01,497,361,126294825.46,300.4213332408139
2025-01-01,326,251,85790742.11,301.49859867576816
2025-02-01,339,244,78884219.41,302.421599271303
2025-03-01,320,216,76012379.56,306.06872632374075
2025-04-01,332,248,89798084.5,303.44854494757624
2025-05-01,339,243,81833864.31,303.1242830945708
2025-06-01,325,220,75174980.09,302.35675415406473
2025-07-01,368,290,99357540.08,303.01385954884665
2025-08-01,338,250,88512662.11,302.34816341160445
2025-09-01,320,221,80644309.8,302.36917388398314
2025-10-01,344,248,82750358.18,301.1968536121181
2025-11-01,318,224,80653850.7,303.1203973328821
2025-12-01,317,236,80355304.97,302.9134147831876
