listing_id,tower_number,unit_category,unit_number,floor_area_sqft,listing_status,client_id,price,month,price_per_sqft,is_sold,segment_id,segment_name,segment_label,country,region,client_type,acquisition_purpose,loan_applied
1012,1,Apartment,12,1160.36,Sold,C0027,300385.62,2024-01-01,258.87278086111206,True,S4,Domestic Financed Home Buyers,S4 - Domestic Financed Home Buyers,USA,California,Individual,Personal Use,Yes
1015,1,Apartment,15,782.25,Sold,C0097,208930.81,2024-01-01,267.08956216043464,True,S4,Domestic Financed Home Buyers,S4 - Domestic Financed Home Buyers,USA,Virginia,Individual,Personal Use,Yes
1021,1,Apartment,21,756.21,Sold,C0113,218585.92,2024-01-01,289.05452189206704,True,S2,Domestic Investors,S2 - Domestic Investors,USA,Utah,Individual,Investment,No
1030,1,Apartment,30,743.09,Sold,C0141,246172.68,2024-01-01,331.2824556917735,True,S1,Domestic Cash Home Buyers,S1 - Domestic Cash Home Buyers,USA,California,Individual,Personal Use,No
2016,2,Apartment,16,701.66,Sold,C0146,212265.67,2024-01-01,302.51926859162563,True,S1,Domestic Cash Home Buyers,S1 - Domestic Cash Home Buyers,USA,Colorado,Individual,Personal Use,No
2018,2,Apartment,18,927.83,Sold,C0023,275394.25,2024-01-01,296.8154187728355,True,S4,Domestic Financed Home Buyers,S4 - Domestic Financed Home Buyers,USA,California,Individual,Personal Use,Yes
2029,2,Apartment,29,1109.25,Sold,C0040,310223.29,2024-01-01,279.66940725715574,True,S1,Domestic Cash Home Buyers,S1 - Domestic Cash Home Buyers,USA,Nevada,Individual,Personal Use,No
3006,3,Apartment,6,1132.06,Sold,C0007,356506.37,2024-01-01,314.9182640496087,True,S3,International Buyers,S3 - International Buyers,Canada,Quebec,Individual,Investment,No
3026,3,Apartment,26,670.89,Sold,C0082,212520.83,2024-01-01,316.7744786775775,True,S2,Domestic Investors,S2 - Domestic Investors,USA,Virginia,Individual,Investment,No
3031,3,Apartment,31,1596.35,Sold,C0038,407214.29,2024-01-01,255.09085726814294,True,S2,Domestic Investors,S2 - Domestic Investors,USA,California,Individual,Investment,No
3035,3,Apartment,35,781.07,Sold,C0107,269278.57,2024-01-01,344.7560013827186,True,S4,Domestic Financed Home Buyers,S4 - Domestic Financed Home Buyers,USA,California,Individual,Personal Use,Yes
4039,4,Apartment,39,785.48,Available,,216826.0,2024-01-01,276.0426745429546,False,,,,,,,,
5015,5,Apartment,15,798.5,Available,,237680.88,2024-01-01,297.65921102066375,False,,,,,,,,
5033,5,Apartment,33,798.28,Sold,C0049,240539.35,2024-01-01,301.32202986420805,True,S1,Domestic Cash Home Buyers,S1 - Domestic Cash Home Buyers,USA,California,Individual,Personal Use,No
5046,5,Apartment,46,798.28,Sold,C0161,230216.22,2024-01-01,288.3903141754773,True,S1,Domestic Cash Home Buyers,S1 - Domestic Cash Home Buyers,USA,California,Individual,Personal Use,No
